"Период","Итого и средние"
"2023-05-15 - 2023-05-21","278"
"2023-05-22 - 2023-05-28","294"
"2023-05-29 - 2023-06-04","317"
"2023-06-05 - 2023-06-11","327"
"2023-06-12 - 2023-06-18","321"
"2023-06-19 - 2023-06-25","372"
"2023-06-26 - 2023-07-02","330"
"2023-07-03 - 2023-07-09","347"
"2023-07-10 - 2023-07-16","399"
"2023-07-17 - 2023-07-23","419"
"2023-07-24 - 2023-07-30","442"
"2023-07-31 - 2023-08-06","554"
"2023-08-07 - 2023-08-13","474"
"2023-08-14 - 2023-08-20","476"
"2023-08-21 - 2023-08-27","416"
"2023-08-28 - 2023-09-03","500"
"2023-09-04 - 2023-09-10","438"
"2023-09-11 - 2023-09-17","521"
"2023-09-18 - 2023-09-20","212"
