"Период"
"2022-01-01","15",""
"2022-01-02","30",""
"2022-01-03","30",""
"2022-01-04","21",""
"2022-01-05","22",""
"2022-01-06","20",""
"2022-01-07","17",""
"2022-01-08","23",""
"2022-01-09","30",""
"2022-01-10","34",""
"2022-01-11","33",""
"2022-01-12","23",""
"2022-01-13","19",""
"2022-01-14","29",""
"2022-01-15","28",""
"2022-01-16","26",""
"2022-01-17","31",""
"2022-01-18","32",""
"2022-01-19","26",""
"2022-01-20","36",""
"2022-01-21","37",""
"2022-01-22","33",""
"2022-01-23","27",""
"2022-01-24","44",""
"2022-01-25","37",""
"2022-01-26","45",""
"2022-01-27","26",""
"2022-01-28","19",""
"2022-01-29","8",""
"2022-01-30","14",""
"2022-01-31","25",""
"2022-02-01","17",""
"2022-02-02","36",""
"2022-02-03","22",""
"2022-02-04","15",""
"2022-02-05","9",""
"2022-02-06","9",""
"2022-02-07","25",""
"2022-02-08","20",""
"2022-02-09","18",""
"2022-02-10","12",""
"2022-02-11","10",""
"2022-02-12","5",""
"2022-02-13","20",""
"2022-02-14","18",""
"2022-02-15","14",""
"2022-02-16","12",""
"2022-02-17","8",""
"2022-02-18","18",""
"2022-02-19","8",""
"2022-02-20","8",""
"2022-02-21","14",""
"2022-02-22","17",""
"2022-02-23","6",""
"2022-02-24","10",""
"2022-02-25","12",""
"2022-02-26","5",""
"2022-02-27","8",""
"2022-02-28","12",""
"2022-03-01","13",""
"2022-03-02","13",""
"2022-03-03","10",""
"2022-03-04","15",""
"2022-03-05","13",""
"2022-03-06","4",""
"2022-03-07","7",""
"2022-03-08","5",""
"2022-03-09","15",""
"2022-03-10","11",""
"2022-03-11","6",""
"2022-03-12","9",""
"2022-03-13","11",""
"2022-03-14","11",""
"2022-03-15","12",""
"2022-03-16","10",""
"2022-03-17","5",""
"2022-03-18","9",""
"2022-03-19","5",""
"2022-03-20","11",""
"2022-03-21","19",""
"2022-03-22","19",""
"2022-03-23","10",""
"2022-03-24","9",""
"2022-03-25","15",""
"2022-03-26","8",""
"2022-03-27","11",""
"2022-03-28","20",""
"2022-03-29","24",""
"2022-03-30","21",""
"2022-03-31","12",""
"2022-04-01","11",""
"2022-04-02","5",""
"2022-04-03","10",""
"2022-04-04","15",""
"2022-04-05","18",""
"2022-04-06","13",""
"2022-04-07","13",""
"2022-04-08","21",""
"2022-04-09","12",""
"2022-04-10","14",""
"2022-04-11","21",""
"2022-04-12","20",""
"2022-04-13","19",""
"2022-04-14","23",""
"2022-04-15","19",""
"2022-04-16","16",""
"2022-04-17","10",""
"2022-04-18","20",""
"2022-04-19","21",""
"2022-04-20","16",""
"2022-04-21","16",""
"2022-04-22","16",""
"2022-04-23","8",""
"2022-04-24","9",""
"2022-04-25","29",""
"2022-04-26","30",""
"2022-04-27","65",""
"2022-04-28","77",""
"2022-04-29","88",""
"2022-04-30","62",""
"2022-05-01","76",""
"2022-05-02","75",""
"2022-05-03","71",""
"2022-05-04","76",""
"2022-05-05","68",""
"2022-05-06","75",""
"2022-05-07","62",""
"2022-05-08","60",""
"2022-05-09","70",""
"2022-05-10","69",""
"2022-05-11","71",""
"2022-05-12","65",""
"2022-05-13","62",""
"2022-05-14","80",""
"2022-05-15","54",""
"2022-05-16","73",""
"2022-05-17","82",""
"2022-05-18","57",""
"2022-05-19","40",""
"2022-05-20","54",""
"2022-05-21","50",""
"2022-05-22","49",""
"2022-05-23","40",""
"2022-05-24","54",""
